Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/16/2023,52.5202,11.139,Germany,1,PV,operating,2011,,Western Europe,Europe,L820770,G823786,2.917
3/16/2023,53.1949,13.1379,Germany,1.1,PV,operating,2011,,Western Europe,Europe,L820771,G823787,2.826
3/16/2023,53.1502,12.3958,Germany,2.6,PV,operating,2013,,Western Europe,Europe,L820772,G823788,2.898
3/16/2023,49.2536,10.2278,Germany,2,PV,operating,2012,,Western Europe,Europe,L820773,G823789,3.144
3/16/2023,53.3979,13.045,Germany,1.4,PV,operating,2014,,Western Europe,Europe,L820774,G823790,2.868
3/16/2023,49.9833,10.9642,Germany,2.9,PV,operating,2010,,Western Europe,Europe,L821856,G824879,3.047
3/16/2023,49.927,7.3021,Germany,1,PV,operating,2009,,Western Europe,Europe,L820775,G823791,3.024
3/16/2023,51.553,13.2185,Germany,4.3,PV,operating,2010,,Western Europe,Europe,L820776,G823792,3.015
3/16/2023,49.1647,12.1081,Germany,5.5,PV,operating,2009,,Western Europe,Europe,L820777,G823793,3.059
3/16/2023,52.3412,14.5495,Germany,8.6,PV,pre-construction,2023,,Western Europe,Europe,L820779,G823795,2.974
3/16/2023,49.991,10.1587,Germany,2,PV,operating,2010,,Western Europe,Europe,L820780,G823796,3.087
3/16/2023,49.4519,11.5811,Germany,1.3,PV,operating,2010,,Western Europe,Europe,L820781,G823797,3.021
3/16/2023,50.7146,12.3824,Germany,1.3,PV,operating,2010,,Western Europe,Europe,L820782,G823798,3.031
3/16/2023,52.1798,11.7396,Germany,2.4,PV,operating,2013,,Western Europe,Europe,L820783,G823799,2.971
3/16/2023,52.7476,7.571,Germany,6,PV,pre-construction,2022,,Western Europe,Europe,L820784,G823800,2.798
3/16/2023,50.771,9.5302,Germany,1.3,PV,operating,2011,,Western Europe,Europe,L820785,G823801,2.887
3/16/2023,51.5977,6.1483,Germany,4.1,PV,operating,2016,,Western Europe,Europe,L820786,G823802,2.908
3/16/2023,51.8724,10.92,Germany,1.7,PV,operating,2012,,Western Europe,Europe,L820787,G823803,2.995
3/16/2023,51.1033,12.1769,Germany,4.5,PV,operating,2016,,Western Europe,Europe,L820788,G823804,3.052
3/16/2023,50.4888,8.5323,Germany,2,PV,operating,2010,,Western Europe,Europe,L820789,G823805,2.999
3/16/2023,50.1525,7.5146,Germany,2.1,PV,operating,2010,,Western Europe,Europe,L820790,G823806,3.011
3/16/2023,51.3497,8.1979,Germany,1.5,PV,pre-construction,2023,,Western Europe,Europe,L820791,G823807,2.793
3/16/2023,48.9218,8.7099,Germany,1.1,PV,operating,2009,,Western Europe,Europe,L820792,G823808,3.199
3/16/2023,51.5487,13.9514,Germany,15.4,PV,operating,2011,,Western Europe,Europe,L820793,G823809,2.988
